,,,,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
X,Y,POP,ele,1000,1000,1000,1000,1000,2000,2000,2000,2000,3000
4161430.214,-843846.9251,20.2435353,0,0,0,0,0,0,0,0,0,0,0
4624341.184,1327521.828,708.2364317,0,0,0,0,0,0,0,0,0,0,0
3245671.554,-3064756.401,426.1718161,0,0,0,0,0,0,0,0,0,0,0
4322442.724,-793443.8469,8218.875331,1,1,1,1,1,1,1,1,1,1,1
3859531.754,-2820401.506,16377.44693,1,1,1,1,1,1,1,1,1,1,1
1937444.898,-3064756.401,133.485633,0,0,0,0,0,0,0,0,0,0,0
2682127.764,-2257661.907,74.70610427,0,0,0,0,0,0,0,0,0,0,0
4201683.341,-763226.4783,10292.71306,1,1,1,1,1,1,1,1,1,1,1
3124912.171,-2942063.361,15296.7943,1,1,1,1,1,1,1,1,1,1,1
1856938.643,-522058.3793,4151.025468,1,1,1,1,1,1,1,1,1,1,1
4392885.698,-763226.4783,13551.92224,1,1,1,1,1,1,1,1,1,1,1
3034342.633,-2504209.624,203.5741341,0,0,0,0,0,0,0,0,0,0,0
1746242.541,-2353724.392,3.467159298,0,0,0,0,0,0,0,0,0,0,0
3607949.705,-1784382.805,2218.172486,1,1,1,1,1,1,1,1,1,1,1
2672064.482,-2257661.907,74.70610427,0,0,0,0,0,0,0,0,0,0,0
1585230.03,-1982875.869,29.47085403,0,0,0,0,0,0,0,0,0,0,0
4010480.983,1687502.526,1050.930549,1,1,1,1,1,1,1,1,1,1,1
3406684.066,-3451114.802,24071.14243,1,1,1,1,1,1,1,1,1,1,1
5294.7609,679364.5422,1923.490579,1,1,1,1,1,1,1,1,1,1,1
3557633.296,-2504209.624,269.6319877,0,0,0,0,0,0,0,0,0,0,0
3819278.626,-2162100.326,11622.93622,1,1,1,1,1,1,1,1,1,1,1
3628076.269,1512050.295,5308.08989,1,1,1,1,1,1,1,1,1,1,1
3024279.351,-1888626.123,3566.970899,1,1,1,1,1,1,1,1,1,1,1
2853203.558,-3957418.322,1622.731146,1,1,1,1,1,1,1,1,1,1,1
2772697.302,-2809390.612,295.0891119,0,0,0,0,0,0,0,0,0,0,0
3557633.296,-3313459.545,39019.93844,1,1,1,1,1,1,1,1,1,1,1
2692191.046,-2257661.907,91.51497773,0,0,0,0,0,0,0,0,0,0,0
